,Unnamed: 0,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,Nearby Flag,Nearby Salon Address,Distance to Nearby Salon (km)
97,187,LOC_1,Kilpauk,Naturals Signature Salon,"No. 76, New No. 52, First Floor, Sreerosh Renaissance, near HDFC Bank building, Agasthiya Nagar, Thandavaraya, Kilpauk, Chennai, Tamil Nadu 600010, India",13.0812238,80.23336619999999,4.9,514,ChIJf3bHez9lUjoRdS3jwNWDEvw,https://www.google.com/maps/place/?q=place_id:ChIJf3bHez9lUjoRdS3jwNWDEvw,Yes,"36PH+QCF, C-73,, C-73, D Block 1st Main Rd, R.V. Nagar, Block C, C Block, Annanagar East, Chennai, Tamil Nadu 600102, India",0.91
98,188,LOC_2,Kilpauk,Page 3 Luxury Salon Kilpauk,"No 10, Harleys Rd, above Tanishq Jewellery, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010, India",13.0831741,80.2419772,4.9,329,ChIJ504cM05nUjoRS8144Y1XiNE,https://www.google.com/maps/place/?q=place_id:ChIJ504cM05nUjoRS8144Y1XiNE,Yes,"No. 76, New No. 52, First Floor, Sreerosh Renaissance, near HDFC Bank building, Agasthiya Nagar, Thandavaraya, Kilpauk, Chennai, Tamil Nadu 600010, India",0.96
99,193,LOC_7,Kilpauk,Lakshmi Krishna naturals Purasawalkam Chennai - Best skin care and hair care products shop,"Ground Floor G-16, Prince Towers, 94, Purasaivakkam High Rd, Kilpauk, Chennai, Tamil Nadu 600010, India",13.0855873,80.24794829999999,4.6,201,ChIJ963WyGVlUjoRCgpb-S0Q41Y,https://www.google.com/maps/place/?q=place_id:ChIJ963WyGVlUjoRCgpb-S0Q41Y,Yes,"52 A, Gangadeeshwar Koil St, above Couture / Clove Dental, Purasaiwakkam, Chennai, Tamil Nadu 600084, India",0.78
100,196,LOC_10,Kilpauk,Naturals Salon,"No: 167, 2nd Floor, Yesde House, Valluvar Kottam High Rd, Ponnangipuram, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.055884,80.242533,4.8,1176,ChIJhz7w1dpnUjoR0n8CdZ2GIEs,https://www.google.com/maps/place/?q=place_id:ChIJhz7w1dpnUjoR0n8CdZ2GIEs,Yes,"3rd Floor, Ispahani Centre, 123 & 124, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",0.78
101,198,LOC_1,Kodabakkam,Naturals salon,"32, Arcot Rd, above Mcrennett, United India Colony, Kodambakkam, Chennai, Tamil Nadu 600024, India",13.0536706,80.2265833,4.8,1545,ChIJv44gOPJmUjoRV6Gi1GZQOhs,https://www.google.com/maps/place/?q=place_id:ChIJv44gOPJmUjoRV6Gi1GZQOhs,No,None,0.0
102,201,LOC_4,Kodabakkam,NATURALS Salon And Spa Vadapalani,"first floor, A NO:13/51, Arunachalam Rd, opp. prasad lab, Mathiazhagan Nagar, Shanthi Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0554618,80.20397299999999,4.4,1072,ChIJj8dkSsdmUjoRbc_8MLvAjF8,https://www.google.com/maps/place/?q=place_id:ChIJj8dkSsdmUjoRbc_8MLvAjF8,Yes,"5/3, Singaravelu St, Thiru Nagar Colony, Gandhi Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",0.44
103,207,LOC_10,Kodabakkam,Naturals Signature Salon,"Raymonds Shop, AVICHI HIGHER SECONDARY SCHOOL, No.87, Arcot Rd, AVM Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0475892,80.1964168,4.8,2763,ChIJodImr89mUjoRSoZ_fAJu18I,https://www.google.com/maps/place/?q=place_id:ChIJodImr89mUjoRSoZ_fAJu18I,Yes,"No 886/A, Munusamy Salai, KK Nagar West, K. K. Nagar, Chennai, Tamil Nadu 600078, India",0.85
104,209,LOC_1,"Kolathur, Ambedkar Naga",Naturals Salon,"1st Floor, 9, 200 Feet Road, near Temple School, Ambedkar Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",13.1261842,80.2073025,4.8,873,ChIJdUIn2uNlUjoRT23jU-onTwM,https://www.google.com/maps/place/?q=place_id:ChIJdUIn2uNlUjoRT23jU-onTwM,Yes,"1st Floor, No 20 &amp, 21, Murugan Kovil St, opposite Indian Bank, Vivekananda Nagar, Senthil Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",0.64
105,210,LOC_2,"Kolathur, Ambedkar Naga",Naturals Salon,"28, Secretariat Colony 1st St, near Secretariat Colony, Secretariat Nagar, Vinayakapuram, Kolathur, Chennai, Tamil Nadu 600099, India",13.135679,80.20971440000001,4.5,1067,ChIJgXiVF_NkUjoRVOfgDiCNE6I,https://www.google.com/maps/place/?q=place_id:ChIJgXiVF_NkUjoRVOfgDiCNE6I,No,None,0.0
106,213,LOC_1,"Kolathur, Senthil Nagar",Naturals Salon,"1st Floor, No 20 &amp, 21, Murugan Kovil St, opposite Indian Bank, Vivekananda Nagar, Senthil Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",13.1254113,80.2014471,4.9,602,ChIJ2dT-eERlUjoR_5wOcsFcib4,https://www.google.com/maps/place/?q=place_id:ChIJ2dT-eERlUjoR_5wOcsFcib4,Yes,"1st Floor, 9, 200 Feet Road, near Temple School, Ambedkar Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",0.64
107,217,LOC_1,Korattur,Naturals Salon,"Plot No H 15, Central Ave, above Shri Ganesh Bhavan Hotel, Periyar Nagar, Venkatraman Nagar, Korattur, Chennai, Tamil Nadu 600080, India",13.1078513,80.18475579999999,4.8,1600,ChIJXedKXYljUjoRYIGICYgbBdM,https://www.google.com/maps/place/?q=place_id:ChIJXedKXYljUjoRYIGICYgbBdM,No,None,0.0
108,218,LOC_1,Kottivakkam,Naturals Signature Salon,"No.1, 2 223, above UNION BANK OF INDIA, Karpagambal Nagar, Kottivakkam, Chennai, Tamil Nadu 600041, India",12.9732157,80.2584181,4.8,3760,ChIJkZqNtEZdUjoRNidYNEyXDWw,https://www.google.com/maps/place/?q=place_id:ChIJkZqNtEZdUjoRNidYNEyXDWw,Yes,"397, Old Mahabalipuram Road, near Oppo Service centre, Nehru Nagar, Perungudi, Chennai, Tamil Nadu 600096, India",0.93
109,219,LOC_1,Kotturpuram,Naturals Salon,"4th Main Rd, near Thatha Patti Park, above NILGIRIS, Kottur Gardens, Avvai Colony, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.019681,80.2432283,4.6,792,ChIJdwcSyqRnUjoRI3UQJWA9AKU,https://www.google.com/maps/place/?q=place_id:ChIJdwcSyqRnUjoRI3UQJWA9AKU,No,None,0.0
110,220,LOC_1,Kovilambakkam,Naturals Salon,"No: 4/15, 2nd Floor, 200 FT Radial Road, 10th, Cross Street, S.Kolathur, Viduthalai Nagar, Kovilambakkam, Chennai, Tamil Nadu 600129, India",12.9481948,80.1996549,4.2,1058,ChIJweNq4s1dUjoRi2mnDw2Ij4A,https://www.google.com/maps/place/?q=place_id:ChIJweNq4s1dUjoRi2mnDw2Ij4A,Yes,"VGP Rajesh Nagar Park, No.8, Velachery Rd, Narayanapuram, Pallikaranai, Chennai, Tamil Nadu 600100, India",0.97
111,221,LOC_2,Kovilambakkam,"Naturals Salon Nanmangalam,","No 1/92A, Medavakkam Main Rd, above City Union Bank, Nanmangalam, Chennai, Tamil Nadu 600129, India",12.9418847,80.1826525,4.9,43,ChIJT1EkJhZfUjoRTl_050zJUP0,https://www.google.com/maps/place/?q=place_id:ChIJT1EkJhZfUjoRTl_050zJUP0,No,None,0.0
112,224,LOC_1,Kundrathur,Naturals Salon Kundrathur,"No 158 &amp, 68, Bazaar St, Kundrathur, Kanchipuram, Tamil Nadu 600069, India",12.9995163,80.09725089999999,4.9,1174,ChIJ5SIETnSLUjoRUF_5WWtEtt8,https://www.google.com/maps/place/?q=place_id:ChIJ5SIETnSLUjoRUF_5WWtEtt8,No,None,0.0
113,231,LOC_5,Madipakkam,Naturals Salon,"20, Rajeshwari Nagar Main Rd, Balaji Nagar, Puzhuthivakkam, Ponnusamy Nagar, Perumal, Chennai, Tamil Nadu 600091, India",12.9737425,80.1916201,4.7,1075,ChIJGzLiouNdUjoRDozTmVh2BVM,https://www.google.com/maps/place/?q=place_id:ChIJGzLiouNdUjoRDozTmVh2BVM,Yes,"No B82, 2nd Floor, Jagadamba Complex, M.G.R. Rd, near Vetrivel Theater, Hindu Colony, Nanganallur, Chennai, Tamil Nadu 600061, India",0.96
